,ID,Name,StatusClosed,ReviewCount,Rating,Distance,Latitude,Longitude,location.zip_code,Address
468,Pw29CE8Hl8LfOrlaDx88kg,StuStuStudio,False,4,5.0,423.50507559042927,45.5592995,-122.6481476,97211,"['1627 NE Alberta St', 'Ste 6', 'Portland, OR 97211']"
469,ytkHzQbDFU64HVMGIcBiBg,Guardino Gallery,False,14,4.0,595.0716041738212,45.55927,-122.6352,97211,"['2939 NE Alberta St', 'Portland, OR 97211']"
470,rEQ1J7UlNOF4npjdw0GEJA,Blind Insect Gallery,False,6,5.0,522.4981909510122,45.55918,-122.63604,97211,"['2841 NE Alberta St', 'Portland, OR 97211']"
471,V-WRkJVcjCid2Pvrd3vmFw,Bird's Eye View Studio,False,1,5.0,993.963818555775,45.551326751709,-122.649040222168,97212,"['3934 NE 16th Ave', 'Portland, OR 97212']"
472,QCmVts0XFXtcfOzlhN9-6A,Shades of Color Art Gallery,False,1,1.0,584.9104251445992,45.55894,-122.6503,97211,"['1476 NE Alberta St', 'Portland, OR 97211']"
502,iYdTkHhHIdtzN93Lt6XErw,JP's Framing And Gallery,False,13,5.0,692.8466798877073,45.5626545,-122.6612631,97211,"['418 NE Killingsworth St', 'Portland, OR 97211']"
936,fHRc29g4RWG9panmury3Pg,Oasis Art Gallery,False,2,2.0,1309.2970735817114,45.526,-122.67988,97209,"['821 NW Flanders St', 'Portland, OR 97209']"
960,cixOE_Tg5znyOC1xjsWmKw,PDX Free Little Art Gallery,False,1,5.0,965.9902805031265,45.49610644336677,-122.6045720764451,97206,"['5630 SE Rhone St', 'Portland, OR 97206']"
1312,rc2DILsjd6U-utEb8fTjSw,The Bear Noir Studio,False,2,5.0,903.9559671798653,45.574589,-122.661017,97211,"['7100 NE Martin Luther King Jr Blvd', 'Portland, OR 97211']"
1329,6T1puexmDPQ0KoJIvv-Fqg,Oregon Center for Contemporary Art,False,10,4.5,774.0171215698758,45.58334,-122.68575,97217,"['8371 N Interstate Ave', 'Portland, OR 97217']"
1333,8kbAYUrhVjmwQ_KyRVsDIg,Higher Self,False,5,5.0,905.3922265882393,45.49048,-122.59801,97206,"['6315 SE Holgate Blvd', 'Portland, OR 97206']"
1335,yR_iEnoD6wAM9R7CFNHVGQ,Kb Custom Framing & Gallery,False,34,5.0,36.227177397712346,45.51898,-122.582597,97215,"['7828 SE Stark St', 'Ste A', 'Portland, OR 97215']"
1337,GuG4hsuw_iJ8JCKvDHwpAw,Nitzan Lilie Artist Blacksmith,False,1,5.0,912.726977837056,45.5895843505859,-122.692977905273,97217,"['Portland, OR 97217']"
1338,sOF1eZhppE5biR1IqwxYBA,Elise Wagner Fine Art,False,1,5.0,912.726977837056,45.5908734,-122.6931698,97217,"['Portland, OR 97217']"
1352,frJHj-y7wfVOsyEmIUHj5Q,Wonderwood Springs,False,34,4.5,1093.5828187347338,45.59132,-122.75583,97203,"['8811 N Lombard St', 'Portland, OR 97203']"
1353,oniit1edxz1Uwx9M9fItew,Two Rivers Books,False,4,5.0,1151.4128043211463,45.591565,-122.756477,97203,"['8836 N Lombard St', 'Portland, OR 97203']"
1354,P2_T1FdfqoYstUncxuVIgQ,c3:initiative,False,1,1.0,1157.209833763822,45.5914688,-122.7565384,97203,"['7326 N Chicago Ave', 'Portland, OR 97203']"
1402,87Nl64YxevMe4sRWErTMdA,Never Never Van,False,1,4.0,899.6074206241474,45.5162412,-122.5975269,97215,"['SE 82nd Ave', 'Portland, OR 97215']"
1424,5mBV7kV8BE9lWYKoG9QhxA,Kelly Williams Art,False,2,5.0,1207.5748311889247,45.57827,-122.70566,97217,"['7621 N Washburne Ave', 'Ste 35', 'Portland, OR 97217']"
1455,KNEpt-gc9_iadz-aniAxgQ,St. Johns Clay Collective,False,7,4.5,519.5875621248832,45.58934,-122.76146,97203,"['6635 N Baltimore St', 'Ste 110', 'Portland, OR 97203']"
1563,xqBjjE3lsBWCEj1CulMGSg,Mile Post 5,False,7,3.5,457.67436309702026,45.5294151306152,-122.579399108887,97213,"['900 NE 81st Ave', 'Ste 203', 'Portland, OR 97213']"
1564,jccddY2ItZWEkvjypM6A7g,Mesman Images,False,3,1.0,695.7225238069864,45.532547,-122.585518,97213,"['1322 NE 75th Ave', 'Portland, OR 97213']"
1709,cbiDQa6_8gQqOYr6XMYIqA,Adelante! Gallery,False,1,5.0,737.2474346833598,45.56116,-122.6588,97211,"['Portland, OR 97211']"
