,Name,ReviewCount,Rating,location.zip_code,empty_slots,free_bikes,Latitude,Longitude,Distance
247,N Rosa Parks Way at Albina,,,,4.0,1.0,0.0,0.0,
248,NE Killingsworth at NE 52nd,,,,0.0,8.0,0.0,0.0,
249,Broadway Residence Hall,,,,1.0,3.0,0.0,0.0,
250,SE 79th at Powell Blvd,,,,4.0,2.0,0.0,0.0,
251,SE 113th at Stark,,,,3.0,2.0,0.0,0.0,
252,N Burrage Ave & N Houghton St,,,,0.0,4.0,0.0,0.0,
253,NE Emerson at MLK Blvd,,,,7.0,0.0,0.0,0.0,
254,Casey Eye Institute,,,,6.0,0.0,0.0,0.0,
255,SE Woodward at 82nd Ave,,,,7.0,0.0,0.0,0.0,
256,NW Flanders at 10th,,,,0.0,5.0,0.0,0.0,
257,NE Broadway at 12th,,,,2.0,14.0,0.0,0.0,
258,SE 92nd at SE Holgate,,,,8.0,0.0,0.0,0.0,
259,SE 28th at Pine,,,,6.0,0.0,0.0,0.0,
260,N Central at N Ida,,,,8.0,1.0,0.0,0.0,
261,SE Milwaukie at Pershing,,,,0.0,10.0,0.0,0.0,
262,SE 92nd at Foster,,,,5.0,2.0,0.0,0.0,
263,NE Alameda at 58th Ave,,,,4.0,1.0,0.0,0.0,
264,Urban Center Plaza at SW 6th,,,,8.0,6.0,0.0,0.0,
265,SE 82nd Ave at SE Francis (Eastport Plaza),,,,3.0,0.0,0.0,0.0,
266,Lone Fir Cemetery,,,,3.0,0.0,0.0,0.0,
267,N Alberta Street at Interstate Ave,,,,6.0,0.0,0.0,0.0,
268,SE 81st Ave at E Burnside St,,,,1.0,5.0,0.0,0.0,
269,N Winchell at N Woolsey,,,,8.0,1.0,0.0,0.0,
270,SW 18th at Jefferson,,,,7.0,6.0,0.0,0.0,
271,SE Holgate at SE Foster,,,,1.0,8.0,0.0,0.0,
272,N Charleston at N Fessenden,,,,8.0,0.0,0.0,0.0,
273,SE Alder at 6th,,,,10.0,0.0,0.0,0.0,
274,SE 8th at Alder,,,,1.0,4.0,0.0,0.0,
275,Cleveland High School,,,,8.0,1.0,0.0,0.0,
276,NE 37th at NE Shaver,,,,4.0,2.0,0.0,0.0,
277,NE 29th Ave (U of O),,,,1.0,5.0,0.0,0.0,
